Signals=time	schematic1.osc	schematic1.direccion	schematic1.eprom_insreg	schematic1.insreg_deco	schematic1.deco_alu	schematic1.constate_mux	schematic1.entrada_b	schematic1.entrada_alu	schematic1.wreg_alu	schematic1.ir_addmux_direct	schematic1.bus_datos	schematic1.alu_status	schematic1.bit_opera	schematic1.n05060	schematic1.n02391	schematic1.n02384	schematic1.n10878	schematic1.n20956	schematic1.n10838
Radix=ns	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex
Type	IN	IN	I/O	I/O	I/O	I/O	IN	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O
Width	1	13	14	7	5	8	8	8	8	7	8	3	3	1	1	1	1	1	1
         0	'0'	0001	X	X	X	X	0F	X	X	X	X	X	X	'U'	'U'	'U'	'U'	'U'	'U'
        10	'1'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'1'	'0'	'0'	'0'	'U'	'U'
        20	'0'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'1'	'0'	'0'	'0'	'U'	'U'
        30	'1'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'1'	'0'	'0'	'U'	'U'
        40	'0'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'1'	'0'	'0'	'U'	'U'
        50	'1'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'0'	'1'	'0'	'U'	'U'
        60	'0'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'0'	'1'	'0'	'U'	'U'
        70	'1'	0001	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'0'	'0'	'1'	'U'	'U'
        80	'0'	0002	0500	0A	00	00	0F	0F	X	00	X	X	2	'0'	'0'	'0'	'1'	'U'	'U'
        90	'1'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       100	'0'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       110	'1'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       120	'0'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       130	'1'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       140	'0'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       150	'1'	0002	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       160	'0'	0003	0100	02	08	00	0F	0F	X	00	X	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       170	'1'	0003	0900	12	03	00	0F	0F	X	00	X	X	4	'1'	'0'	'0'	'0'	'0'	'1'
       180	'0'	0003	0900	12	03	00	0F	0F	X	00	X	X	4	'1'	'0'	'0'	'0'	'0'	'1'
       190	'1'	0003	0900	12	03	00	0F	0F	X	00	X	X	4	'0'	'1'	'0'	'0'	'0'	'1'
       200	'0'	0003	0900	12	03	00	0F	0F	X	00	X	X	4	'0'	'1'	'0'	'0'	'0'	'1'
